0,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48
96,3,3,3,3,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6
108,3,3,3,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6
120,3,3,3,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,7
132,3,3,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,7,7
144,3,3,4,4,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7
156,3,3,4,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7
168,3,3,4,4,4,4,4,5,5,5,5,6,6,6,7,7,7,7,8
180,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,8,8
192,3,3,4,4,4,4,5,5,5,5,6,6,6,7,7,7,7,8,8
204,3,3,4,4,4,4,5,5,5,6,6,6,6,7,7,8,8,8,8
216,3,3,4,4,4,5,5,5,5,6,6,6,7,7,7,8,8,8,8
228,3,3,4,4,4,5,5,5,6,6,6,6,7,7,7,8,8,8,9
240,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,8,9
