196,16,2,28,24,20,18,16,16,15,14,13,12,12,6,0,0,0,0,0
197,18,2,28,24,20,18,16,13,13,11,11,9,9,9,8,6,0,0,0
197,20,2,28,24,20,18,16,13,13,11,11,9,9,9,8,6,0,0,0
193,22,2,28,24,18,14,13,11,10,9,9,8,8,7,7,7,6,6,6
195,24,2,28,24,20,18,12,12,12,10,10,9,9,8,8,7,6,0,0
175,26,2,28,24,12,12,12,10,9,8,8,7,7,6,6,6,6,6,6
175,28,2,28,24,12,12,12,10,9,8,8,7,7,6,6,6,6,6,6
175,30,2,28,24,12,12,12,10,9,8,8,7,7,6,6,6,6,6,6
133,32,2,28,18,11,11,9,9,7,7,7,6,6,6,6,0,0,0,0
133,34,2,28,18,11,11,9,9,7,7,7,6,6,6,6,0,0,0,0
180,36,2,28,24,15,14,10,10,10,8,8,7,7,7,6,6,6,6,6
127,38,2,26,17,12,10,9,8,8,6,6,6,6,5,6,0,0,0,0
127,40,2,26,17,12,10,9,8,8,6,6,6,6,5,6,0,0,0,0
127,42,2,26,17,12,10,9,8,8,6,6,6,6,5,6,0,0,0,0
