12,8,32,32,31,27,25,23,22,20,12,8,0,0,0,0,0,0,0
14,8,32,32,31,27,25,23,22,20,12,8,0,0,0,0,0,0,0
16,8,32,32,31,27,25,23,22,20,12,8,0,0,0,0,0,0,0
18,8,32,32,31,27,25,23,22,20,12,8,0,0,0,0,0,0,0
20,8,32,32,30,26,24,22,21,20,17,8,0,0,0,0,0,0,0
22,8,32,32,31,27,25,23,19,18,17,8,0,0,0,0,0,0,0
24,8,32,32,31,27,25,23,19,18,17,8,0,0,0,0,0,0,0
26,8,32,32,30,26,24,21,19,17,15,8,8,0,0,0,0,0,0
28,8,32,32,31,26,22,20,18,16,15,12,8,0,0,0,0,0,0
30,8,32,32,28,25,21,19,17,16,15,11,8,8,0,0,0,0,0
32,8,32,32,29,23,20,18,16,15,14,13,12,8,0,0,0,0,0
34,8,32,32,28,22,19,17,15,14,13,13,11,8,8,0,0,0,0
36,8,32,32,26,22,19,17,15,14,13,12,11,11,8,0,0,0,0
38,8,32,32,25,21,18,16,15,13,13,12,11,8,8,8,0,0,0
40,8,32,32,24,20,17,16,14,13,12,11,9,8,8,8,8,0,0
42,8,32,31,24,19,17,16,14,13,12,11,11,8,8,8,8,0,0
44,8,32,30,23,19,16,16,13,12,12,11,8,8,8,8,8,8,0
46,8,32,27,23,19,16,14,13,12,11,11,10,10,9,9,8,8,0
48,8,32,25,22,18,16,14,13,12,11,10,10,9,8,8,8,8,8
